,Time,Length
22333,59.422295999999996,12
22334,59.422295999999996,13
22335,59.422295999999996,14
22336,59.422295999999996,15
22337,59.422295999999996,16
22338,59.422295999999996,17
22339,59.422295999999996,18
22340,59.444565000000004,19
22341,59.444565000000004,20
22342,59.444565000000004,21
22343,59.444565000000004,22
22344,59.444565000000004,23
22345,59.444565000000004,24
22346,59.444565000000004,25
22347,59.444565000000004,26
22348,59.455138,25
22349,59.455138,24
22350,59.455138,23
22351,59.455138,22
22352,59.455138,21
22353,59.455138,20
22354,59.455227,19
22355,59.455228000000005,18
22356,59.455228000000005,17
22357,59.455228000000005,16
22358,59.455228000000005,15
22359,59.47526800000001,14
22360,59.47526800000001,13
22361,59.475269,12
22362,59.475269,11
22363,59.494891,12
22364,59.494891,13
22365,59.494891,14
22366,59.494891,15
22367,59.494891,16
22368,59.494891,17
22369,59.494891,18
22370,59.49521,17
22371,59.49521,16
22372,59.495211,15
22373,59.495211,14
22374,59.520314,15
22375,59.520314,16
22376,59.520314,17
22377,59.525429,16
22378,59.525429,15
22379,59.525429,14
22380,59.525429,13
22381,59.525429,12
22382,59.525482999999994,11
22383,59.525484,10
22384,59.554577,9
22385,59.554578,8
22386,59.554578,7
22387,59.5709,8
22388,59.5709,9
22389,59.5709,10
22390,59.5709,11
22391,59.5709,12
22392,59.5709,13
22393,59.5709,14
22394,59.5709,15
22395,59.5709,16
22396,59.5709,17
22397,59.5709,18
22398,59.5709,19
22399,59.596424,20
22400,59.596424,21
22401,59.603089000000004,20
22402,59.603089000000004,19
22403,59.60309,18
22404,59.60309,17
22405,59.60309,16
22406,59.603196,15
22407,59.603196,14
22408,59.603196,13
22409,59.603196,12
22410,59.603196,11
22411,59.603196,10
22412,59.603196,9
22413,59.620884,10
22414,59.620884,11
22415,59.620884,12
22416,59.620884,13
22417,59.634322,12
22418,59.634322,11
22419,59.645883999999995,12
22420,59.645883999999995,13
22421,59.645883999999995,14
22422,59.645883999999995,15
22423,59.645883999999995,16
22424,59.645883999999995,17
22425,59.645883999999995,18
22426,59.654706999999995,17
22427,59.65470799999999,16
22428,59.65470799999999,15
22429,59.65470799999999,14
22430,59.672555,15
22431,59.672555,16
22432,59.674241,15
22433,59.674241,14
22434,59.674241,13
22435,59.674299,12
22436,59.674299,11
22437,59.674299,10
22438,59.674299,9
22439,59.696877,10
22440,59.696877,11
22441,59.696877,12
22442,59.696877,13
22443,59.696877,14
22444,59.696877,15
22445,59.696877,16
22446,59.696877,17
22447,59.70319,16
22448,59.70319,15
22449,59.722717,16
22450,59.722717,17
22451,59.722717,18
22452,59.722717,19
22453,59.734745999999994,18
22454,59.734745999999994,17
22455,59.734745999999994,16
22456,59.734745999999994,15
22457,59.734745999999994,14
22458,59.734745999999994,13
22459,59.734745999999994,12
22460,59.734747,11
22461,59.754357999999996,10
22462,59.754357999999996,9
22463,59.754357999999996,8
22464,59.754357999999996,7
22465,59.774254000000006,8
22466,59.774254000000006,9
22467,59.774254000000006,10
22468,59.774254000000006,11
22469,59.798312,12
22470,59.802696,11
22471,59.802696,10
22472,59.802696,9
22473,59.802696,8
22474,59.834348,7
22475,59.849288,8
22476,59.849288,9
22477,59.849288,10
22478,59.849288,11
22479,59.849288,12
22480,59.849288,13
22481,59.849288,14
22482,59.849288,15
22483,59.849288,16
22484,59.883962,15
22485,59.883963,14
22486,59.883963,13
22487,59.883963,12
22488,59.883963,11
22489,59.883963,10
22490,59.883963,9
22491,59.883963,8
22492,59.884071,7
22493,59.925377000000005,8
22494,59.925377000000005,9
22495,59.925377000000005,10
22496,59.925377000000005,11
22497,59.925377000000005,12
22498,59.925377000000005,13
22499,59.925377000000005,14
22500,59.954981999999994,13
22501,59.954983,12
22502,59.954983,11
22503,59.954983,10
22504,59.954983,9
22505,59.954983,8
22506,59.954983,7
22507,59.975167000000006,8
22508,59.975167000000006,9
22509,59.975167000000006,10
22510,59.975167000000006,11
22511,59.975167000000006,12
22512,59.975167000000006,13
22513,59.975167000000006,14
22514,59.975167000000006,15
22515,60.000918000000006,16
22516,60.000918000000006,17
22517,60.000918000000006,18
22518,60.000918000000006,19
22519,60.000918000000006,20
22520,60.000918000000006,21
22521,60.002632,20
22522,60.002632,19
22523,60.002632,18
22524,60.002632999999996,17
22525,60.002632999999996,16
22526,60.002632999999996,15
22527,60.002632999999996,14
22528,60.002689000000004,13
22529,60.026029,14
22530,60.026029,15
22531,60.026029,16
22532,60.026029,17
22533,60.034569999999995,16
22534,60.034569999999995,15
22535,60.034569999999995,14
22536,60.034569999999995,13
22537,60.034569999999995,12
22538,60.034571,11
22539,60.050625,12
22540,60.050625,13
22541,60.050625,14
22542,60.050625,15
22543,60.050625,16
22544,60.050625,17
22545,60.050625,18
22546,60.05451,17
22547,60.054511,16
22548,60.054511,15
22549,60.054511,14
22550,60.076025,15
22551,60.076025,16
22552,60.076025,17
22553,60.076025,18
22554,60.076025,19
22555,60.083335999999996,18
22556,60.083337,17
22557,60.083337,16
22558,60.083337,15
22559,60.08339599999999,14
22560,60.08339599999999,13
22561,60.08339599999999,12
22562,60.100995,13
22563,60.100995,14
22564,60.100995,15
22565,60.100995,16
22566,60.100995,17
22567,60.100995,18
22568,60.100995,19
22569,60.100995,20
22570,60.100995,21
22571,60.100995,22
22572,60.100995,23
22573,60.115123,22
22574,60.115123,21
22575,60.115123,20
22576,60.115123,19
22577,60.115123,18
22578,60.126318000000005,19
22579,60.126318000000005,20
22580,60.126318000000005,21
22581,60.135243,20
22582,60.135243,19
22583,60.13524399999999,18
22584,60.13524399999999,17
22585,60.13524399999999,16
22586,60.13524399999999,15
22587,60.13524399999999,14
22588,60.13524399999999,13
22589,60.135338,12
22590,60.135338,11
22591,60.135338,10
22592,60.150501,11
22593,60.150501,12
22594,60.150501,13
22595,60.150501,14
22596,60.150501,15
22597,60.150501,16
22598,60.150501,17
22599,60.150501,18
22600,60.150501,19
22601,60.154791,18
22602,60.154791,17
22603,60.154791,16
22604,60.17629,17
22605,60.17629,18
22606,60.17629,19
22607,60.17629,20
22608,60.17629,21
22609,60.17629,22
22610,60.17629,23
22611,60.17629,24
22612,60.17629,25
22613,60.17629,26
22614,60.183358999999996,25
22615,60.183358999999996,24
22616,60.183358999999996,23
22617,60.183358999999996,22
22618,60.183358999999996,21
22619,60.183358999999996,20
22620,60.18336,19
22621,60.194717000000004,18
22622,60.194718,17
22623,60.201214,18
22624,60.201214,19
22625,60.201214,20
22626,60.201214,21
22627,60.201214,22
22628,60.21518199999999,21
22629,60.21518199999999,20
22630,60.21518199999999,19
22631,60.21518199999999,18
22632,60.215182999999996,17
22633,60.215182999999996,16
22634,60.215182999999996,15
