"No.","Time","Source","Destination","Protocol","losts","count","req_ms","losts_extend"
"91139","120.085304","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10919 : 0,24,25,26,27,28,30,31,32,]","9","5790019",""
"91158","120.111288","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10925 : 0,]","1","5790045",""
"91176","120.136247","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10881 : 0,12,48,53,56,]","5","5790070",""
"91184","120.162187","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10919 : 0,24,25,26,27,28,30,34,35,36,37,38,]","12","5790096",""
"91222","120.213412","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10893 : 0,36,41,]","3","5790147",""
"91251","120.239187","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10943 : 0,1,4,11,12,14,16,]","7","5790172",""
"91271","120.264033","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10961 : 0,1,]","2","5790198",""
"91294","120.290179","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10893 : 0,41,72,74,75,76,]","6","5790223",""
"91312","120.315190","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10943 : 0,1,4,11,16,]","5","5790248",""
"91330","120.340409","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10961 : 0,1,]","2","5790274",""
"91347","120.366241","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10934 : 0,31,33,34,37,38,]","6","5790300",""
"91365","120.391932","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10943 : 0,1,4,11,16,]","5","5790325",""
"91375","120.417134","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10961 : 0,1,]","2","5790350",""
"91403","120.441147","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10934 : 0,33,34,37,38,]","5","5790375",""
"91412","120.466814","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10943 : 0,1,4,11,16,]","5","5790400",""
"91429","120.491603","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10961 : 0,1,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,]","17","5790425",""
"91447","120.517108","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10934 : 0,33,34,37,38,]","5","5790450",""
"91477","120.542204","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10943 : 0,1,16,]","3","5790476",""
"91493","120.568600","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10961 : 0,15,16,17,18,19,20,21,22,23,24,25,27,28,30,32,]","16","5790502",""
"91506","120.593784","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10934 : 0,37,38,]","3","5790527",""
"91535","120.621078","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10943 : 0,1,]","2","5790552",""
"91562","120.644238","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10976 : 0,3,4,7,10,12,13,15,]","8","5790578",""
"91579","120.669861","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10972 : 0,23,24,25,26,27,30,31,]","8","5790603",""
"91603","120.694685","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11007 : 0,]","1","5790628",""
"91622","120.719488","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10979 : 0,1,7,9,]","4","5790653",""
"91638","120.745003","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10972 : 0,23,25,27,]","4","5790678",""
"91654","120.769939","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11007 : 0,2,3,4,5,]","5","5790703",""
"91672","120.795216","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10979 : 0,7,9,]","3","5790729",""
"91686","120.820610","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10995 : 0,4,]","2","5790754",""
"91712","120.845527","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11009 : 0,1,3,5,6,7,9,10,]","8","5790779",""
"91730","120.870785","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10986 : 0,2,]","2","5790804",""
"91754","120.896146","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10999 : 0,22,24,25,]","4","5790829",""
"91764","120.920373","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[11010 : 0,2,4,5,8,9,]","6","5790854",""
"91789","120.946281","192.168.1.2","58.211.82.170","UDP1.VIDEO_REX_REQ_V3","[10986 : 0,41,42,]","3","5790880",""
